ID,CUSTOMERNAME,PHONE,PRODUCT,TRANSPORTINDUSTRY,PRODUCTCODE,ADDRESSLINE,CITY,COUNTRY,TERRITORY
0,Land of Toys Inc.,2125557818,Motorcycles,Land-Based,S10_1678,897 Long Airport Avenue,NYC,USA,NA
1,Reims Collectables,26.47.1555,Motorcycles,Land-Based,S10_1678,59 rue de l'Abbaye,Reims,France,EMEA
2,Lyon Souveniers,+33 1 46 62 7555,Motorcycles,Land-Based,S10_1678,27 rue du Colonel Pierre Avia,Paris,France,EMEA
3,Toys4GrownUps.com,6265557265,Motorcycles,Land-Based,S10_1678,78934 Hillside Dr.,Pasadena,USA,NA
4,Corporate Gift Ideas Co.,6505551386,Motorcycles,Land-Based,S10_1678,7734 Strong St.,San Francisco,USA,NA
5,Technics Stores Inc.,6505556809,Motorcycles,Land-Based,S10_1678,9408 Furth Circle,Burlingame,USA,NA
6,Daedalus Designs Imports,20.16.1555,Motorcycles,Land-Based,S10_1678,"184, chausse de Tournai",Lille,France,EMEA
7,Herkku Gifts,+47 2267 3215,Motorcycles,Land-Based,S10_1678,"Drammen 121, PR 744 Sentrum",Bergen,Norway,EMEA
8,Mini Wheels Co.,6505555787,Motorcycles,Land-Based,S10_1678,5557 North Pendale Street,San Francisco,USA,NA
9,Auto Canal Petit,(1) 47.55.6555,Motorcycles,Land-Based,S10_1678,"25, rue Lauriston",Paris,France,EMEA
10,"Australian Collectors, Co.",03 9520 4555,Motorcycles,Land-Based,S10_1678,636 St Kilda Road,Melbourne,Australia,APAC
11,Vitachrome Inc.,2125551500,Motorcycles,Land-Based,S10_1678,2678 Kingston Rd.,NYC,USA,NA
12,Tekni Collectables Inc.,2015559350,Motorcycles,Land-Based,S10_1678,7476 Moss Rd.,Newark,USA,NA
13,Gift Depot Inc.,2035552570,Motorcycles,Land-Based,S10_1678,25593 South Bay Ln.,Bridgewater,USA,NA
14,La Rochelle Gifts,40.67.8555,Motorcycles,Land-Based,S10_1678,"67, rue des Cinquante Otages",Nantes,France,EMEA
15,Marta's Replicas Co.,6175558555,Motorcycles,Land-Based,S10_1678,39323 Spinnaker Dr.,Cambridge,USA,NA
16,"Toys of Finland, Co.",90-224 8555,Motorcycles,Land-Based,S10_1678,Keskuskatu 45,Helsinki,Finland,EMEA
17,Baane Mini Imports,07-98 9555,Motorcycles,Land-Based,S10_1678,Erling Skakkes gate 78,Stavern,Norway,EMEA
18,Diecast Classics Inc.,2155551555,Motorcycles,Land-Based,S10_1678,7586 Pompton St.,Allentown,USA,NA
19,Land of Toys Inc.,2125557818,Motorcycles,Land-Based,S10_1678,897 Long Airport Avenue,NYC,USA,NA
20,Salzburg Collectables,6562-9555,Motorcycles,Land-Based,S10_1678,Geislweg 14,Salzburg,Austria,EMEA
21,Souveniers And Things Co.,+61 2 9495 8555,Motorcycles,Land-Based,S10_1678,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,APAC
22,La Rochelle Gifts,40.67.8555,Motorcycles,Land-Based,S10_1678,"67, rue des Cinquante Otages",Nantes,France,EMEA
23,FunGiftIdeas.com,5085552555,Motorcycles,Land-Based,S10_1678,1785 First Street,New Bedford,USA,NA
24,"UK Collectables, Ltd.",(171) 555-2282,Motorcycles,Land-Based,S10_1678,Berkeley Gardens 12  Brewery,Liverpool,UK,EMEA
25,Euro Shopping Channel,(91) 555 94 44,Motorcycles,Land-Based,S10_1678,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
26,Baane Mini Imports,07-98 9555,Classic Cars,Land-Based,S10_1949,Erling Skakkes gate 78,Stavern,Norway,EMEA
27,"Volvo Model Replicas, Co",0921-12 3555,Classic Cars,Land-Based,S10_1949,Berguvsv�gen  8,Lule,Sweden,EMEA
28,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Classic Cars,Land-Based,S10_1949,"C/ Araquil, 67",Madrid,Spain,EMEA
29,Technics Stores Inc.,6505556809,Classic Cars,Land-Based,S10_1949,9408 Furth Circle,Burlingame,USA,NA
30,"Dragon Souveniers, Ltd.",+65 221 7555,Classic Cars,Land-Based,S10_1949,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,APAC
31,Classic Legends Inc.,2125558493,Classic Cars,Land-Based,S10_1949,5905 Pompton St.,NYC,USA,NA
32,"Australian Gift Network, Co",61-7-3844-6555,Classic Cars,Land-Based,S10_1949,31 Duncan St. West End,South Brisbane,Australia,APAC
33,"Classic Gift Ideas, Inc",2155554695,Classic Cars,Land-Based,S10_1949,782 First Street,Philadelphia,USA,NA
34,"Saveley & Henriot, Co.",78.32.5555,Classic Cars,Land-Based,S10_1949,"2, rue du Commerce",Lyon,France,EMEA
35,Canadian Gift Exchange Network,(604) 555-3392,Classic Cars,Land-Based,S10_1949,1900 Oak St.,Vancouver,Canada,NA
36,West Coast Collectables Co.,3105553722,Classic Cars,Land-Based,S10_1949,3675 Furth Circle,Burbank,USA,NA
37,Cambridge Collectables Co.,6175555555,Classic Cars,Land-Based,S10_1949,4658 Baden Av.,Cambridge,USA,NA
38,Super Scale Inc.,2035559545,Classic Cars,Land-Based,S10_1949,567 North Pendale Street,New Haven,USA,NA
39,"Tokyo Collectables, Ltd",+81 3 3584 0555,Classic Cars,Land-Based,S10_1949,2-2-8 Roppongi,Minato-ku,Japan,APAC
40,Souveniers And Things Co.,+61 2 9495 8555,Classic Cars,Land-Based,S10_1949,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,APAC
41,Amica Models & Co.,011-4988555,Classic Cars,Land-Based,S10_1949,Via Monte Bianco 34,Torino,Italy,EMEA
42,Scandinavian Gift Ideas,0695-34 6555,Classic Cars,Land-Based,S10_1949,?kergatan 24,Boras,Sweden,EMEA
43,Auto Assoc. & Cie.,30.59.8555,Classic Cars,Land-Based,S10_1949,"67, avenue de l'Europe",Versailles,France,EMEA
44,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S10_1949,5677 Strong St.,San Rafael,USA,NA
45,Online Diecast Creations Co.,6035558647,Classic Cars,Land-Based,S10_1949,2304 Long Airport Avenue,Nashua,USA,NA
46,Mini Wheels Co.,6505555787,Classic Cars,Land-Based,S10_1949,5557 North Pendale Street,San Francisco,USA,NA
47,"Australian Collectors, Co.",03 9520 4555,Classic Cars,Land-Based,S10_1949,636 St Kilda Road,Melbourne,Australia,APAC
48,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S10_1949,5677 Strong St.,San Rafael,USA,NA
49,Collectables For Less Inc.,6175558555,Classic Cars,Land-Based,S10_1949,7825 Douglas Av.,Brickhaven,USA,NA
50,Corporate Gift Ideas Co.,6505551386,Classic Cars,Land-Based,S10_1949,7734 Strong St.,San Francisco,USA,NA
51,"Anna's Decorations, Ltd",02 9936 8555,Classic Cars,Land-Based,S10_1949,201 Miller Street,North Sydney,Australia,APAC
52,Quebec Home Shopping Network,(514) 555-8054,Classic Cars,Land-Based,S10_1949,43 rue St. Laurent,Montreal,Canada,NA
