id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
534948,Rental unit in Montreal · ★4.83 · 2 bedrooms · 2 beds · 1 bath,1610679,Edward,,Le Sud-Ouest,45.4873,-73.5733,Entire home/apt,88,31,6,2023-09-01,0.05,1,56,2,
542160,Condo in Montreal · ★4.77 · 1 bedroom · 1 bed · 1 bath,2666170,Alex,,Le Plateau-Mont-Royal,45.53666,-73.58142,Entire home/apt,91,31,192,2023-08-19,1.70,2,274,8,"284723, expires: 2024-06-30"
556742,Rental unit in Montreal · ★4.83 · 2 bedrooms · 2 beds · 1 bath,2737452,Carole,,Le Plateau-Mont-Royal,45.5309,-73.56854,Entire home/apt,101,31,127,2023-08-23,0.94,2,284,5,
564098,Rental unit in Montreal · ★4.80 · 1 bedroom · 1 bed · 1 bath,2542265,Marilou,,Le Plateau-Mont-Royal,45.53826,-73.5707,Entire home/apt,50,31,12,2023-01-31,0.09,2,140,3,
29059,Rental unit in Montreal · ★4.67 · 1 bedroom · 2 beds · 1 bath,125031,Maryline,,Ville-Marie,45.51939,-73.56482,Entire home/apt,190,31,435,2023-08-15,2.71,1,308,50,"267153, expires: 2024-03-31"
34715,Rental unit in Montreal · ★4.89 · 2 bedrooms · 3 beds · 1 bath,149769,Alain,,Rosemont-La Petite-Patrie,45.53818,-73.6036,Entire home/apt,160,14,10,2023-07-08,0.06,1,99,2,"261026, expires: 2023-10-31"
36301,Rental unit in Montréal · ★4.88 · 1 bedroom · 2 beds · 1 bath,381468,Sylvie,,Le Plateau-Mont-Royal,45.53026,-73.58413,Entire home/apt,160,32,48,2023-05-01,0.48,7,306,3,
38118,Rental unit in Montreal · ★4.50 · 3 bedrooms · 4 beds · 1 shared bath,163569,M.,,Ville-Marie,45.52699,-73.5584,Private room,50,31,17,2022-08-29,0.12,1,323,0,
46626,Rental unit in Montréal · ★4.65 · 4 bedrooms · 4 beds · 1 shared bath,208453,Maureen,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4702282493343,-73.60712289553328,Private room,75,3,52,2023-08-26,0.35,2,342,15,"305995, expires: 2024-07-31"
50479,Rental unit in Montreal · ★4.95 · 1 bedroom · 1 bed · 1 bath,231694,Noemie,,Rosemont-La Petite-Patrie,45.54157,-73.60737,Entire home/apt,145,4,241,2023-08-28,1.53,2,2,51,"271530, expires: 2024-04-30"
66247,Loft in Montreal · ★4.71 · 1 bedroom · 1 bed · 1 bath,318040,Seb,,Ville-Marie,45.50584,-73.55602,Entire home/apt,229,3,419,2023-08-31,2.71,3,30,83,"314544, expires: 2024-07-14T00:00:00Z"
66276,Rental unit in Montreal · ★4.70 · 1 bedroom · 2 beds · 1 bath,324569,Anna,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4625,-73.62825,Entire home/apt,44,32,39,2023-06-06,0.26,2,221,1,
70489,Condo in Montreal · ★4.0 · 1 bedroom · 2 beds · 1.5 baths,145990,Marc Andre,,Ville-Marie,45.5019,-73.56354,Entire home/apt,90,31,3,2014-09-08,0.02,1,255,0,
70801,Home in Montreal · ★4.87 · 3 bedrooms · 3 beds · 2.5 baths,294382,Jennifer&Steeve,,Le Sud-Ouest,45.47812,-73.55698,Entire home/apt,542,3,33,2023-08-22,0.22,1,104,7,"310728, expires: 2024-07-31"
85267,Rental unit in Montreal · ★4.89 · 1 bedroom · 2 beds · 1 bath,381468,Sylvie,,Le Plateau-Mont-Royal,45.52946,-73.58206,Entire home/apt,150,90,38,2023-08-09,0.25,7,253,6,
99859,Rental unit in Montreal · ★4.81 · 2 bedrooms · 2 beds · 1 bath,525486,Sesaye,,Le Plateau-Mont-Royal,45.51856,-73.57756,Entire home/apt,232,31,45,2023-08-07,0.30,1,365,6,
104554,Rental unit in Montreal · ★4.67 · 2 bedrooms · 2 beds · 1 bath,543969,Victoria,,Le Plateau-Mont-Royal,45.52403,-73.60176,Entire home/apt,123,31,90,2023-08-30,0.60,1,0,6,"307546, expires: 2023-11-30"
107860,Rental unit in Montreal · ★4.48 · 1 bedroom · 4 beds · 1.5 shared baths,528512,Jen,,Le Plateau-Mont-Royal,45.52508,-73.58719,Private room,21,300,145,2022-12-19,0.97,1,239,1,
135275,Rental unit in Montreal · ★4.81 · 1 bedroom · 1 bed · 2 baths,520966,Myriam,,Villeray-Saint-Michel-Parc-Extension,45.53971,-73.61943,Entire home/apt,181,60,73,2023-04-30,0.49,3,155,1,
137443,Rental unit in Montreal · ★4.79 · 2 bedrooms · 2 beds · 1 bath,656725,Christophe,,Le Plateau-Mont-Royal,45.52663,-73.60145,Entire home/apt,250,2,64,2023-08-29,0.46,1,130,19,"310398, expires: 2024-06-30"
142722,Rental unit in Montreal · ★4.85 · Studio · 1 bed · 1 bath,381468,Sylvie,,Le Plateau-Mont-Royal,45.52851,-73.58224,Entire home/apt,110,32,125,2023-07-31,0.85,7,211,3,
160600,Rental unit in Montreal · ★4.81 · 2 bedrooms · 3 beds · 1 bath,324569,Anna,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46248,-73.63008,Entire home/apt,93,32,27,2023-08-10,0.18,2,355,4,
160639,Rental unit in Montréal · ★4.73 · 1 bedroom · 1 bed · 1 bath,38398,Omar,,Rosemont-La Petite-Patrie,45.54512,-73.59808,Entire home/apt,90,186,16,2019-11-30,0.11,1,358,0,
164087,Rental unit in Montreal · ★4.84 · Studio · 1 bed · 1 bath,604849,Martin,,Le Plateau-Mont-Royal,45.528545,-73.579308,Entire home/apt,164,2,690,2023-08-18,4.70,3,162,63,"291093, expires: 2024-01-31"
165108,Rental unit in Montreal · ★4.69 · 2 bedrooms · 2 beds · 1 bath,787391,Karine,,Rosemont-La Petite-Patrie,45.54673,-73.57181,Entire home/apt,95,31,32,2022-01-02,0.22,3,2,0,
168331,Rental unit in Montréal · ★4.91 · 2 bedrooms · 2 beds · 1 bath,604849,Martin,,Le Plateau-Mont-Royal,45.528431,-73.578979,Entire home/apt,343,2,598,2023-08-23,4.11,3,132,66,"291093, expires: 2024-01-31"
171627,Rental unit in Montreal · Studio · 1 bed · 1 bath,818883,Lapelemo,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49406,-73.62555,Entire home/apt,92,31,2,2022-08-07,0.01,3,63,0,
180947,Rental unit in Montreal · ★4.25 · 1 bedroom · 1 bed · 1 bath,387422,Service,,Ville-Marie,45.50312,-73.56346,Entire home/apt,115,31,5,2022-03-22,0.04,20,325,0,
182142,Rental unit in Montréal · ★5.0 · 4 bedrooms · 6 beds · 2.5 baths,818883,Lapelemo,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49172,-73.6247,Entire home/apt,299,31,3,2022-12-31,0.19,3,316,1,
190003,Rental unit in Montreal · 1 bedroom · 1 bed · 1 bath,640693,Marco,,Le Plateau-Mont-Royal,45.51937,-73.56999,Private room,13294,99,1,2011-08-13,0.01,1,365,0,
206647,Rental unit in Montreal · ★4.42 · 1 bedroom · 1 bed · 1 bath,1016614,Home In Montreal,,Le Sud-Ouest,45.47944,-73.5582,Entire home/apt,83,90,19,2022-08-31,0.14,11,229,0,
208337,Rental unit in Montreal · ★4.82 · 4 bedrooms · 5 beds · 2 baths,1025518,Christian Et Judith,,Le Plateau-Mont-Royal,45.53217,-73.58388,Entire home/apt,190,20,23,2022-08-28,0.16,2,0,0,"306474, expires: 2024-08-31"
211602,Guest suite in Baie-D'Urfe · ★4.85 · 1 bedroom · 1 bed · 1 bath,407029,Hans,,Baie-d'Urfé,45.41282,-73.90712,Entire home/apt,146,2,212,2023-08-21,1.77,1,66,21,"311701, expires: 2023-12-22"
222430,Home in Montreal · ★4.11 · 1 bedroom · 1 bed · 1 bath,1020994,Melanie,,Ville-Marie,45.4901,-73.56718,Private room,42,31,20,2022-06-27,0.14,7,254,0,
231472,Rental unit in Montreal · ★4.89 · 1 bedroom · 2 beds · 1 bath,520966,Myriam,,Villeray-Saint-Michel-Parc-Extension,45.53839,-73.61759,Entire home/apt,125,32,22,2020-03-31,0.16,3,0,0,
