ID,PRODUCT,PRICEEACH,QUANTITYORDERED,SALES,STATUS,ORDERNUMBER,PRODUCTCODE,MONTH_ID,QTR_ID,YEAR_ID
0,Motorcycles,95.7,30,2871.0,Shipped,10107,S10_1678,2,1,2003
1,Motorcycles,81.35,34,2765.9,Shipped,10121,S10_1678,5,2,2003
2,Motorcycles,94.74,41,3884.34,Shipped,10134,S10_1678,7,3,2003
3,Motorcycles,83.26,45,3746.7,Shipped,10145,S10_1678,8,3,2003
4,Motorcycles,100.0,49,5205.27,Shipped,10159,S10_1678,10,4,2003
5,Motorcycles,96.66,36,3479.76,Shipped,10168,S10_1678,10,4,2003
6,Motorcycles,86.13,29,2497.77,Shipped,10180,S10_1678,11,4,2003
7,Motorcycles,100.0,48,5512.32,Shipped,10188,S10_1678,11,4,2003
8,Motorcycles,98.57,22,2168.54,Shipped,10201,S10_1678,12,4,2003
9,Motorcycles,100.0,41,4708.44,Shipped,10211,S10_1678,1,1,2004
10,Motorcycles,100.0,37,3965.66,Shipped,10223,S10_1678,2,1,2004
11,Motorcycles,100.0,23,2333.12,Shipped,10237,S10_1678,4,2,2004
12,Motorcycles,100.0,28,3188.64,Shipped,10251,S10_1678,5,2,2004
13,Motorcycles,100.0,34,3676.76,Shipped,10263,S10_1678,6,2,2004
14,Motorcycles,92.83,45,4177.35,Shipped,10275,S10_1678,7,3,2004
15,Motorcycles,100.0,36,4099.68,Shipped,10285,S10_1678,8,3,2004
16,Motorcycles,100.0,23,2597.39,Shipped,10299,S10_1678,9,3,2004
17,Motorcycles,100.0,41,4394.38,Shipped,10309,S10_1678,10,4,2004
18,Motorcycles,94.74,46,4358.04,Shipped,10318,S10_1678,11,4,2004
19,Motorcycles,100.0,42,4396.14,Shipped,10329,S10_1678,11,4,2004
20,Motorcycles,100.0,41,7737.93,Shipped,10341,S10_1678,11,4,2004
21,Motorcycles,72.55,20,1451.0,Shipped,10361,S10_1678,12,4,2004
22,Motorcycles,34.91,21,733.11,Shipped,10375,S10_1678,2,1,2005
23,Motorcycles,76.36,42,3207.12,Shipped,10388,S10_1678,3,1,2005
24,Motorcycles,100.0,24,2434.56,Shipped,10403,S10_1678,4,2,2005
25,Motorcycles,100.0,66,7516.08,Disputed,10417,S10_1678,5,2,2005
26,Classic Cars,100.0,26,5404.62,Shipped,10103,S10_1949,1,1,2003
27,Classic Cars,100.0,29,7209.11,Shipped,10112,S10_1949,3,1,2003
28,Classic Cars,100.0,38,7329.06,Shipped,10126,S10_1949,5,2,2003
29,Classic Cars,100.0,37,7374.1,Shipped,10140,S10_1949,7,3,2003
30,Classic Cars,100.0,45,10993.5,Shipped,10150,S10_1949,9,3,2003
31,Classic Cars,100.0,21,4860.24,Shipped,10163,S10_1949,10,4,2003
32,Classic Cars,100.0,34,8014.82,Shipped,10174,S10_1949,11,4,2003
33,Classic Cars,100.0,23,5372.57,Shipped,10183,S10_1949,11,4,2003
34,Classic Cars,100.0,42,7290.36,Shipped,10194,S10_1949,11,4,2003
35,Classic Cars,100.0,47,9064.89,Shipped,10206,S10_1949,12,4,2003
